"mode","requests","failures","total_ms","avg_ms","p50_ms","p95_ms","min_ms","max_ms","rps"
"meta","500","500","870.12","1.56","1.46","2.02","1.18","14.47","574.63"
"reflectie","500","500","843.63","1.53","1.43","2.04","1.15","3.49","592.68"
"reflectie","500","500","826.64","1.49","1.39","1.94","1.13","11.64","604.86"
"meta","500","500","790.46","1.43","1.34","1.89","1.08","3.58","632.54"
"meta","500","500","794","1.43","1.38","1.83","1.08","3.2","629.73"
"reflectie","500","500","932.6","1.69","1.54","2.55","1.09","5.15","536.14"
"reflectie","500","500","912.24","1.65","1.6","2.13","1.17","4.2","548.1"
"meta","500","500","863.32","1.57","1.46","2.28","1.17","4.23","579.16"
"meta","500","500","887.09","1.6","1.54","2.2","1.17","4.32","563.64"
"reflectie","500","500","820.39","1.48","1.4","1.95","1.1","2.66","609.46"
"reflectie","500","500","806.82","1.47","1.39","1.84","1.15","4.34","619.72"
"meta","500","500","807.12","1.47","1.41","1.88","1.14","4.15","619.49"
"meta","500","500","823.93","1.5","1.37","2.18","1.13","4.45","606.85"
"reflectie","500","500","815.42","1.47","1.4","1.9","1.17","4.03","613.18"
