"mode","requests","failures","total_ms","avg_ms","p50_ms","p95_ms","min_ms","max_ms","rps"
"meta","500","500","815.27","1.47","1.39","1.85","1.14","14.91","613.3"
"reflectie","500","500","813.77","1.49","1.37","1.88","1.17","12.57","614.42"
"reflectie","500","0","2486.01","4.8","4.74","5.65","3.28","22.72","201.13"
"meta","500","0","2274.42","4.38","4.2","5.85","3.31","10.39","219.84"
"meta","500","0","2321.7","4.48","4.24","6.12","3.19","26.53","215.36"
"reflectie","500","0","2485.03","4.8","4.79","5.91","3.16","8.78","201.2"
"reflectie","500","0","2199.98","4.25","4.14","5.34","3.13","8.21","227.27"
"meta","500","0","2355.7","4.56","4.49","5.95","3.15","9.81","212.25"
"meta","500","0","2224.77","4.29","4.16","5.31","2.93","9.46","224.74"
"reflectie","500","0","2333.06","4.5","4.35","5.99","3.29","8.28","214.31"
"reflectie","500","0","2324.51","4.48","4.39","5.7","3.25","8.55","215.1"
"meta","500","0","2251.96","4.33","4.22","5.55","3.22","8","222.03"
"meta","500","0","2373.7","4.58","4.31","6.41","3.13","10.26","210.64"
"reflectie","500","0","2304.56","4.44","4.3","5.82","3.05","11.37","216.96"
