"mode","requests","failures","total_ms","avg_ms","p50_ms","p95_ms","min_ms","max_ms","rps"
"meta","500","500","803.72","1.45","1.36","1.93","1.11","10.8","622.11"
"reflectie","500","500","813.15","1.48","1.33","2.02","1.15","14.71","614.89"
"reflectie","500","500","766.4","1.38","1.33","1.74","1.11","3.4","652.4"
"meta","500","500","780.82","1.42","1.31","2.04","1.11","4.79","640.36"
"meta","500","500","780.14","1.42","1.33","1.84","1.11","3.65","640.91"
"reflectie","500","500","817.39","1.48","1.37","2.29","1.11","3.4","611.7"
"reflectie","500","500","790","1.44","1.32","1.96","1.09","5.06","632.91"
"meta","500","500","763.42","1.38","1.33","1.75","1.09","3.17","654.95"
"meta","500","500","815.36","1.47","1.37","1.93","1.14","5.58","613.22"
"reflectie","500","500","768.32","1.4","1.33","1.75","1.15","4.23","650.77"
"reflectie","500","500","779.46","1.41","1.35","1.83","1.13","4.02","641.47"
"meta","500","500","798.35","1.45","1.34","2.02","1.1","4.2","626.29"
"meta","500","500","757.58","1.38","1.32","1.73","1.12","4.33","659.99"
"reflectie","500","500","803.28","1.46","1.33","1.97","1.11","13.29","622.45"
