"mode","requests","failures","total_ms","avg_ms","p50_ms","p95_ms","min_ms","max_ms","rps"
"meta","500","500","887.81","1.58","1.48","2.18","1.18","4.22","563.18"
"reflectie","500","500","918.56","1.68","1.57","2.5","1.2","4.39","544.33"
"reflectie","500","500","861.55","1.56","1.43","2.18","1.18","11.51","580.35"
"meta","500","500","810.16","1.48","1.38","2.04","1.11","4.32","617.16"
"meta","500","500","817.93","1.48","1.4","2.07","1.11","3.69","611.3"
"reflectie","500","500","924.99","1.68","1.51","2.63","1.14","9.62","540.54"
"reflectie","500","500","790.92","1.44","1.36","1.82","1.18","3.25","632.18"
"meta","500","500","934.6","1.7","1.57","2.34","1.13","13.07","534.99"
"meta","500","500","898.36","1.62","1.53","2.33","1.09","4.56","556.57"
"reflectie","500","500","785.13","1.42","1.36","1.79","1.13","2.77","636.84"
"reflectie","500","0","2567.04","4.93","4.79","6.16","3.26","23.39","194.78"
"meta","500","0","2421.53","4.66","4.52","6.13","3.33","13.99","206.48"
"meta","500","0","2337.55","4.51","4.39","5.5","3.29","8.87","213.9"
"reflectie","500","0","2300.4","4.43","4.31","5.28","3.32","9.54","217.35"
