"mode","requests","failures","total_ms","avg_ms","p50_ms","p95_ms","min_ms","max_ms","rps"
"meta","500","500","928.44","1.7","1.61","2.24","1.12","15.01","538.54"
"reflectie","500","500","788.91","1.43","1.38","1.88","1.11","3.09","633.79"
"reflectie","500","500","794.77","1.42","1.33","1.98","1.11","3.22","629.11"
"meta","500","500","772.83","1.4","1.31","1.84","1.13","3.47","646.97"
"meta","500","500","742.18","1.35","1.29","1.71","1.09","3.77","673.69"
"reflectie","500","500","758.05","1.37","1.29","1.77","1.08","4.52","659.59"
"reflectie","500","500","740.11","1.34","1.3","1.65","1.07","3.14","675.57"
"meta","500","500","753.18","1.36","1.31","1.71","1.09","2.85","663.85"
"meta","500","500","819.25","1.49","1.36","2.1","1.09","6.77","610.32"
"reflectie","500","500","888.36","1.62","1.47","2.53","1.15","7.54","562.83"
"reflectie","500","500","800.06","1.45","1.38","1.86","1.15","3.49","624.96"
"meta","500","500","830.9","1.5","1.38","2.14","1.13","4.06","601.75"
"meta","500","500","761.59","1.39","1.32","1.79","1.12","4.71","656.52"
"reflectie","500","500","826.81","1.5","1.39","1.92","1.1","13.72","604.73"
