"mode","requests","failures","total_ms","avg_ms","p50_ms","p95_ms","min_ms","max_ms","rps"
"meta","500","0","2389.4","4.61","4.39","6.13","3.58","11.06","209.26"
"reflectie","500","462","915.13","1.67","1.3","4.21","1","6.94","546.37"
"reflectie","500","500","703.59","1.26","1.17","1.8","1.02","2.83","710.64"
"meta","500","197","1742.65","3.32","4.13","5.47","0.97","10.76","286.92"
"meta","500","0","2449.81","4.73","4.5","6.52","3.52","12.66","204.1"
"reflectie","500","3","16122.32","32.08","4.35","5.48","3.52","8184.76","31.01"
"reflectie","500","79","2301.84","4.42","4.5","6.67","1.09","13.37","217.22"
"meta","500","500","707.96","1.27","1.18","1.8","1.03","2.95","706.26"
"meta","500","500","719.56","1.29","1.19","1.75","1.01","3.04","694.87"
"reflectie","500","500","834.7","1.5","1.34","2.49","1.03","4.05","599.02"
"reflectie","500","500","740.44","1.33","1.23","2.02","1.03","4.23","675.28"
"meta","500","356","1199.38","2.24","1.28","5","0.99","9.13","416.88"
"meta","500","0","2384.24","4.6","4.34","6.21","3.35","15.76","209.71"
"reflectie","500","0","2502.44","4.83","4.78","5.78","3.49","8.3","199.81"
